Reactant1,Reactant2,Solvents,Solvent1,Reagents,Reagent1,Reagent2,Reagent3,Reagent4,Yield,ee,ddG
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CCC[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],80,86,1.71402767563529
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC[C@H](C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],73,87,1.766687124094768
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C)(C)C,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],67,80,1.4559551744137598
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],81,88,1.8232601791949612
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CC1CCCC1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CC1CCCC1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],78,89,1.884432161427303
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@H](C(=O)O)c1ccccc1,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],73,77,1.352207229657329
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CC1.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@H](C(=O)O)C1CC1,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],79,88,1.8232601791949612
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.COc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,COc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],66,87,1.766687124094768
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,Cc1ccccc1C[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],77,94,2.3033803310056973
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)[C@H]1CC[C@H](C)C[C@@H]1OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],73,81,1.493614953
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],70,87,1.766687124094768
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O.CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(=O)N[C@@H](Cc1ccccc1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],15,70,1.1494052124601866
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(C(F)(F)F)cc1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],74,88,1.8232601791949612
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],66,89,1.884432161427303
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],8,60,0.9186054394039616
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(=O)OC(C)(C)C)cc1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OC(=O)OC(C)(C)C)cc1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],70,88,1.8232601791949612
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,Cc1ccc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)cc1,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],69,89,1.884432161427303
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)CC[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],70,78,1.3853956258447695
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CCCC[N+](CCCC)(CCCC)CCCC.C[C@@H](OC(C)(C)C)[C@H](NC(=O)OC(C)(C)C)C(=O)O.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,C[C@@H](OC(C)(C)C)[C@H](NC(=O)OC(C)(C)C)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],72,82,1.5330926030914749
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](Cc1c2ccccc2cc2ccccc12)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](Cc1c2ccccc2cc2ccccc12)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],65,91,2.0243784946512533
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CCc1ccccc1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CCc1ccccc1)C(=O)O,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],74,85,1.6647385117871345
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@H](C(=O)O)C(c1ccccc1)c1ccccc1.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[K+].[K+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@H](C(=O)O)C(c1ccccc1)c1ccccc1,O=C([O-])[O-].[K+].[K+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],59,85,1.6647385117871345
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Li+].[Li+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O,O=C([O-])[O-].[Li+].[Li+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],46,61,0.939510446
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Na+].[Na+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O,O=C([O-])[O-].[Na+].[Na+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],51,67,1.074451525
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Rb+].[Rb+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O,O=C([O-])[O-].[Rb+].[Rb+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],78,89,1.884432161
C=CC(=O)N(C)C,CN1CC23C4C5C6C2[Fe]56432789C3C2C7C8(C1)C39,CN(C)C=O,CN(C)C=O,CC(=O)O[Pd]OC(C)=O.CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O.CCCC[N+](CCCC)(CCCC)CCCC.O=C([O-])[O-].[Br-].[Cs+].[Cs+],CC(=O)O[Pd]OC(C)=O,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)C(=O)O,O=C([O-])[O-].[Cs+].[Cs+],CCCC[N+](CCCC)(CCCC)CCCC.[Br-],21,79,1.419933602
